task	file	body_len	first_line
1	task_1_034.txt	206	34)
3	task_3_018.txt	193	18)
3	task_3_023.txt	212	23)
3	task_3_026.txt	193	26)
3	task_3_030.txt	208	30)
3	task_3_034.txt	196	34)
3	task_3_035.txt	211	35)
3	task_3_056.txt	215	56)
3	task_3_061.txt	180	61)
3	task_3_062.txt	188	62)
3	task_3_063.txt	179	63)
3	task_3_064.txt	204	64)
3	task_3_067.txt	213	67)
5	task_5_451.txt	56	451)
5	task_5_452.txt	74	452)
5	task_5_453.txt	129	453)
5	task_5_454.txt	85	454)
5	task_5_455.txt	54	455)
5	task_5_456.txt	133	456)
5	task_5_457.txt	123	457)
5	task_5_458.txt	85	458)
5	task_5_459.txt	54	459)
5	task_5_460.txt	133	460)
5	task_5_461.txt	123	461)
5	task_5_462.txt	85	462)
5	task_5_463.txt	54	463)
5	task_5_464.txt	133	464)
5	task_5_465.txt	132	465)
5	task_5_466.txt	85	466)
5	task_5_467.txt	54	467)
5	task_5_468.txt	133	468)
5	task_5_469.txt	131	469)
5	task_5_515.txt	129	515)
5	task_5_516.txt	41	516)
5	task_5_517.txt	190	517)
5	task_5_519.txt	129	519)
5	task_5_520.txt	41	520)
5	task_5_523.txt	129	523)
5	task_5_524.txt	41	524)
5	task_5_525.txt	103	525)
5	task_5_527.txt	130	527)
5	task_5_528.txt	82	528)
5	task_5_529.txt	64	529)
5	task_5_530.txt	166	530)
5	task_5_532.txt	129	532)
5	task_5_533.txt	65	533)
5	task_5_534.txt	64	534)
5	task_5_535.txt	58	535)
5	task_5_537.txt	129	537)
5	task_5_538.txt	215	538)
5	task_5_539.txt	125	539)
5	task_5_541.txt	135	541)
5	task_5_542.txt	52	542)
5	task_5_543.txt	87	543)
5	task_5_544.txt	207	544)
5	task_5_565.txt	113	565)
5	task_5_566.txt	87	566)
5	task_5_567.txt	108	567)
5	task_5_568.txt	108	568)
5	task_5_569.txt	173	569)
5	task_5_570.txt	113	570)
5	task_5_571.txt	87	571)
5	task_5_572.txt	108	572)
5	task_5_573.txt	108	573)
5	task_5_574.txt	173	574)
5	task_5_575.txt	113	575)
5	task_5_576.txt	87	576)
5	task_5_577.txt	108	577)
5	task_5_578.txt	108	578)
5	task_5_579.txt	173	579)
5	task_5_580.txt	113	580)
5	task_5_581.txt	87	581)
5	task_5_582.txt	108	582)
5	task_5_583.txt	110	583)
5	task_5_584.txt	173	584)
5	task_5_585.txt	113	585)
5	task_5_586.txt	87	586)
5	task_5_587.txt	108	587)
5	task_5_588.txt	110	588)
5	task_5_589.txt	173	589)
5	task_5_590.txt	132	590)
5	task_5_591.txt	44	591)
5	task_5_592.txt	49	592)
5	task_5_593.txt	38	593)
5	task_5_627.txt	182	627)
5	task_5_635.txt	120	635)
5	task_5_636.txt	52	636)
5	task_5_638.txt	120	638)
5	task_5_639.txt	52	639)
5	task_5_641.txt	130	641)
5	task_5_642.txt	41	642)
5	task_5_675.txt	170	675)
5	task_5_677.txt	134	677)
5	task_5_678.txt	89	678)
5	task_5_679.txt	86	679)
5	task_5_732.txt	142	732)
5	task_5_733.txt	58	733)
5	task_5_735.txt	142	735)
5	task_5_736.txt	57	736)
5	task_5_739.txt	142	739)
5	task_5_740.txt	57	740)
5	task_5_743.txt	142	743)
5	task_5_744.txt	42	744)
5	task_5_745.txt	138	745)
5	task_5_746.txt	85	746)
5	task_5_748.txt	142	748)
5	task_5_749.txt	42	749)
5	task_5_751.txt	142	751)
5	task_5_752.txt	42	752)
5	task_5_754.txt	149	754)
5	task_5_755.txt	41	755)
5	task_5_757.txt	156	757)
5	task_5_758.txt	41	758)
5	task_5_760.txt	144	760)
5	task_5_761.txt	41	761)
5	task_5_763.txt	145	763)
5	task_5_764.txt	41	764)
5	task_5_766.txt	142	766)
5	task_5_767.txt	41	767)
5	task_5_769.txt	142	769)
5	task_5_770.txt	44	770)
5	task_5_772.txt	142	772)
5	task_5_773.txt	43	773)
5	task_5_775.txt	142	775)
5	task_5_776.txt	44	776)
5	task_5_778.txt	142	778)
5	task_5_779.txt	41	779)
5	task_5_781.txt	142	781)
5	task_5_782.txt	44	782)
5	task_5_784.txt	142	784)
5	task_5_785.txt	43	785)
5	task_5_787.txt	142	787)
5	task_5_788.txt	43	788)
5	task_5_790.txt	142	790)
5	task_5_791.txt	44	791)
5	task_5_793.txt	142	793)
5	task_5_794.txt	45	794)
6	task_6_206.txt	171	206)
6	task_6_208.txt	177	208)
6	task_6_210.txt	107	210)
6	task_6_246.txt	150	246)
6	task_6_248.txt	150	248)
6	task_6_250.txt	168	250)
6	task_6_252.txt	180	252)
6	task_6_254.txt	180	254)
6	task_6_256.txt	90	256)
6	task_6_258.txt	167	258)
6	task_6_260.txt	186	260)
6	task_6_262.txt	177	262)
6	task_6_275.txt	111	275)
6	task_6_277.txt	111	277)
6	task_6_279.txt	111	279)
6	task_6_281.txt	90	281)
6	task_6_283.txt	90	283)
6	task_6_285.txt	90	285)
6	task_6_287.txt	90	287)
6	task_6_289.txt	182	289)
6	task_6_291.txt	89	291)
6	task_6_293.txt	98	293)
6	task_6_295.txt	199	295)
6	task_6_297.txt	98	297)
6	task_6_299.txt	111	299)
6	task_6_301.txt	98	301)
6	task_6_312.txt	170	312)
6	task_6_317.txt	118	317)
6	task_6_319.txt	118	319)
6	task_6_321.txt	118	321)
6	task_6_323.txt	186	323)
6	task_6_325.txt	180	325)
6	task_6_327.txt	186	327)
6	task_6_329.txt	186	329)
6	task_6_331.txt	173	331)
6	task_6_333.txt	185	333)
6	task_6_335.txt	111	335)
7	task_7_011.txt	170	11)
7	task_7_012.txt	170	12)
7	task_7_013.txt	170	13)
7	task_7_014.txt	189	14)
7	task_7_015.txt	189	15)
7	task_7_016.txt	179	16)
7	task_7_017.txt	178	17)
7	task_7_092.txt	217	92)
7	task_7_093.txt	214	93)
7	task_7_094.txt	216	94)
7	task_7_095.txt	216	95)
8	task_8_010.txt	214	10)
8	task_8_022.txt	151	22)
8	task_8_023.txt	151	23)
8	task_8_024.txt	161	24)
8	task_8_068.txt	215	68)
8	task_8_114.txt	200	114)
8	task_8_115.txt	212	115)
8	task_8_116.txt	200	116)
8	task_8_117.txt	200	117)
8	task_8_118.txt	200	118)
8	task_8_121.txt	148	121)
8	task_8_122.txt	148	122)
8	task_8_123.txt	148	123)
8	task_8_124.txt	148	124)
8	task_8_125.txt	148	125)
