№,1,2,3,4,5,6,7,7-2,7-v,8,9,9-2,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,27dp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,"11724
https://youtu.be/4lKL8BO2u_Q",2,4,"13
https://youtu.be/JVAzHjQJ5qw","24
https://youtu.be/IBy2RvhuaU4
https://vk.com/video-216115749_456239822","1
https://youtu.be/WLUYUYDx3g0",625,"ОАУАО
https://youtu.be/_cGgGtntJlQ","29
https://youtu.be/Yr5IXM0YxE0",4,4,70,4,ГВЖЕДБА,"6, 9, 18",2,1834984,2151 9630,"1133 522
https://youtu.be/60lFtxYX-ag
https://vk.com/video-216115749_456239674","17
https://youtu.be/tBHU9W167yA","29 32
https://youtu.be/tBHU9W167yA","28
https://youtu.be/tBHU9W167yA","23
https://youtu.be/MpRNCfYOFwI
https://vk.com/video-216115749_456239960","36
https://youtu.be/A4KLeUvBnuM",0,"1 3 42283 126849
1 47 2699 126853
1 5 25373 126865
1 293 433 126869",2797 51,"12999 8442
9864 38539",67303  200157496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,"786
https://youtu.be/sdE7ac4ocGA",3,4,"90
https://youtu.be/3b9VBUSEbxA","10
https://youtu.be/ukEJbgEd890
https://vk.com/video-216115749_456239823","3
https://youtu.be/7wb5Ri7_ACM",3750,"ОООУО
https://youtu.be/Sk7g7_cfkaw","15
https://youtu.be/tuw_KU29wLc",2,18,38,4,"ВАЖГЕБД
https://youtu.be/D0zwNexuPKk",3,3,"1048598
https://youtu.be/NwbZtxzynTc",1649 12876,"1357 701
https://youtu.be/LFss0JMhdgA
https://vk.com/video-216115749_456239688",19,32 36,31,"20
https://youtu.be/R40KCP8Rw-E
https://vk.com/video-216115749_456239961","32
https://youtu.be/wagsZP0gy6I",1,"1 5 20543 102715
1 59 1741 102719
1 139 739 102721
1 2 51361 102722",3827 61,"751 9101
36881 14309",109737 401536407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,4,"107
https://youtu.be/K6Gmfzrzo_k",3,2,"28
https://youtu.be/JbxfNf1D9Ck","7
https://youtu.be/_3sW1VibuMQ
https://vk.com/video-216115749_456239824","3
https://youtu.be/gCOqzuejPhg",256,"УААУО
https://youtu.be/xElMU9QXmM8","14
https://youtu.be/rfxLiN1ks0g",3,23,2,2,"3
https://youtu.be/l1V-QQbcCQQ","4,6,9,12,18,36",2,"102697
https://youtu.be/UFOmqQH-FPs",1178 10992,"1236 717
https://youtu.be/7fC717rtGHc
https://vk.com/video-216115749_456239689",20,34 38,33,"36
https://youtu.be/giWKlognYzg
https://vk.com/video-216115749_456239962","96
https://youtu.be/RdxgI6jvksI",2,"1 3 51343 154029
1 2 77017 154034
1 31 4969 154039
1 3 51347 154041",5011 92,"32055 58097
31886 25834",66228 203412732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,3,"34
https://youtu.be/1RvP_hd9Wo0",2,4,"42
https://youtu.be/8_9XS32awgw","16
https://youtu.be/831tL8uN4Y0
https://vk.com/video-216115749_456239825","4
https://youtu.be/zckhUsBQj_8",32000,"УОУАУ
https://youtu.be/aTrYgbBAWEA","27
https://youtu.be/NVwwo9wL9KM",1,65,256,4,"ecafgbd
https://youtu.be/5B_jmZ1S8pA","6,8,12,24",3,"1606706
https://youtu.be/jOW6pFg-XWU",1265 13188,"1320 522
https://youtu.be/jjYOtbNsF30
https://vk.com/video-216115749_456239690",12,21 23,20,"31
https://youtu.be/GQbuCJLghLA
https://vk.com/video-216115749_456239963","54
https://youtu.be/3AOAQFb7y0A",4,"1 2 104917 209834
1 223 941 209843
1 5 41969 209845
1 173 1213 209849",2496 96,"51318 7467
62068 6005",123720 402332230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1,"100
https://youtu.be/5gH8sz4hP5E",4,2,"121
https://youtu.be/OdUDPlHzGtU","28
https://youtu.be/C_lAqJIqws4
https://vk.com/video-216115749_456239826","2
https://youtu.be/UyLI64_guQ4",480000,"АРККК
https://youtu.be/nkF5kMlESBU","13
https://youtu.be/_XCb7HxxxYk",1,42,5400,4,"ДВАЕГБЖ
https://youtu.be/zaNZo4ya3SA",5,4,"1398104
https://youtu.be/cXqpNyB9ijQ",519 9680,"1361 711
https://youtu.be/8xi3D-r1gXA
https://vk.com/video-216115749_456239691",13 ,23 25,22,"1
https://youtu.be/9km9Z8lSr0o
https://vk.com/video-216115749_456239964","38
https://youtu.be/lfclthK1lTM",5,"1 233 647 150751
1 2 75377 150754
1 41 3677 150757
1 13 11597 150761
1 107 1409 150763",3224 96,"5994 3453
5135 53288",75960 203343860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,4,"6
https://youtu.be/Qvuh_Zo16iE",2,1,"24
https://youtu.be/BIdeaCX1GdU","384
https://youtu.be/iu5YB9d1wMg
https://vk.com/video-216115749_456239827","4
https://youtu.be/LrerOliHyro",8,"АУУРК
https://youtu.be/QDytsW4_DpY","11
https://youtu.be/mIOgwDY4eLk",1,22,30,4,"egadbfc
https://youtu.be/3Jed7SflcNI","6,9,12,18,36",2,"1235714
https://youtu.be/ptOqMufSxOo",1414 1200,"1277 501
https://youtu.be/TiSG2p0cSCg
https://vk.com/video-216115749_456239692",15,26 28,25,"15
https://youtu.be/ad-OVFxnKYY
https://vk.com/video-216115749_456239965","225
https://youtu.be/XlP8EkTrtRw",6,"1 31 8123 251813
1 5 50363 251815
1 3 83939 251817
1 419 601 251819
1 17 14813 251821",2373 67,"2563 21181
40436 6120","782040 997002
https://youtu.be/kn8GqbScH50?t=3020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,4,"44
https://youtu.be/Xt58x6W6yHk",2,1,"241
https://youtu.be/nAnH8vjFFwA","80
https://youtu.be/yjSsRSUDA4s
https://vk.com/video-216115749_456239828","1
https://youtu.be/SCCHa9BU2AQ",108,"КККУК
https://youtu.be/JWO18_XJAKI","25
https://youtu.be/iLd5ge79Kd4",1,3,256,3,"fgbadec
https://youtu.be/7MJpIpV_l_0",5,3,"1441790
https://youtu.be/SGoDP28JPpg",776 200,"1326 708
https://youtu.be/7Xm13S8h_qk
https://vk.com/video-216115749_456239693",16,29 31,28,"16
https://youtu.be/FPcBRe83VJw
https://vk.com/video-216115749_456239966","448
https://youtu.be/hbz2qDigl-A",7,"1 2 56509 113018
1 2 56519 113038
1 131 863 113053
1 2 56527 113054
1 167 677 113059",950 64,"76006 18319
2481 40247","692286 952567
https://youtu.be/kn8GqbScH50?t=4077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,3,"4
https://youtu.be/K3jYDnaBD3c",3,4,"195
https://youtu.be/rhpMB_HpkZ4","32
https://youtu.be/pG4P2L11Q-U
https://vk.com/video-216115749_456239829","4
https://youtu.be/xrF_3sD5hB4",2,"КУААК
https://youtu.be/r9890OuU314","13
https://youtu.be/u2WCQc6aqsA",4,8,128,2,"ЕЗБГДВЖА
https://youtu.be/iRu_2qCS2ys","4,6,8,12,24",2,"1874798
https://youtu.be/kvoRlIfPhME",573 1107,"1259 560
https://youtu.be/NHB1GlATJ1k
https://vk.com/video-216115749_456239694",18,32 34,31,"712
https://youtu.be/K03g2Ux_764
https://vk.com/video-216115749_456239967","230
https://youtu.be/ahJ0nWpGn-4",8,"1 2 111497 222994
1 173 1289 222997
1 269 829 223001
1 7 31859 223013
1 2 111509 223018
1 83 2687 223021",1132 70,"21209 39042
17938 2398","11009 200
https://youtu.be/kn8GqbScH50?t=9826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,4,"5
https://youtu.be/GXSqOR1CtWA",4,1,"50
https://youtu.be/45V2hs_3igs","12
https://youtu.be/Rxgoq5bVWHU
https://vk.com/video-216115749_456239830","2
https://youtu.be/r3kO8czNa8M",2560,"163
https://youtu.be/D_KB43XQskw","7
https://youtu.be/webNBWkXIc4",1,8,24,3,"DGAFCEB
https://youtu.be/RFRARjC-w_4","8,17,26",1,"1540093
https://youtu.be/EjiC3uIufPk",791 1339,"1334 486
https://youtu.be/ZStv5KcTv8k
https://vk.com/video-216115749_456239695",14,24 26,23,"19288
https://youtu.be/J5IfDJCXHUA
https://vk.com/video-216115749_456239968","572
https://youtu.be/Uj3SVaOAy2I",11,"1 17 15193 258281
1 181 1427 258287
1 173 1493 258289
1 7 36899 258293
1 5 51659 258295",1498 53,"24751 19274
34076 25918",2465 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3,3,"17800
https://youtu.be/1xwTo_bdnhA",4,1,"70
https://youtu.be/C93aWhg3LeI","16
https://youtu.be/hoOAKglwGdo
https://vk.com/video-216115749_456239831","1
https://youtu.be/Vy5X13iyZEc",256000,"92
https://youtu.be/IredJJRySQM","17
https://youtu.be/XyNWdGzZEuo",4,15,540,3,"БВАГ
https://youtu.be/0GQIs_-yYx8","13,29",1,"1671
https://youtu.be/-pWrbDT7OnY",4358 1098,"1350 686
https://youtu.be/W3Pe_5g52_U
https://vk.com/video-216115749_456239696",16,28 30,27,"18
https://youtu.be/w-lT8cSrftw
https://vk.com/video-216115749_456239969","298
https://youtu.be/nmdDGU43--8",9,"1 271 1249 338479
1 2 169241 338482
1 59 5737 338483
1 2 169243 338486
1 23 14717 338491
1 3 112831 338493",967 88,"8734 76647
7881 5340",15062 45226419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
